timestamp,source_file,level,indicator_tags,ip_src,ip_dst,service,message,line_number
1900-07-01 09:00:55,Mac_2k.log,INFO,,,,,calvisitor-10-105-160-95 kernel[0]: IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,1
1900-07-01 09:01:05,Mac_2k.log,INFO,,,,,calvisitor-10-105-160-95 com.apple.CDScheduler[43]: Thermal pressure state: 1 Memory pressure state: 0,2
1900-07-01 09:01:06,Mac_2k.log,INFO,,,,,calvisitor-10-105-160-95 QQ[10018]: FA||Url||taskID[2019352994] dealloc,3
1900-07-01 09:02:26,Mac_2k.log,INFO,,,,,calvisitor-10-105-160-95 kernel[0]: ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],4
1900-07-01 09:02:26,Mac_2k.log,INFO,,,,,authorMacBook-Pro kernel[0]: ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],5
1900-07-01 09:03:11,Mac_2k.log,INFO,,,,,calvisitor-10-105-160-95 mDNSResponder[91]: mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),6
1900-07-01 09:03:13,Mac_2k.log,INFO,info,,,,"calvisitor-10-105-160-95 kernel[0]: ARPT: 620749.901374: IOPMPowerSource : onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",7
1900-07-01 09:04:33,Mac_2k.log,INFO,,,,,"calvisitor-10-105-160-95 kernel[0]: ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",8
1900-07-01 09:04:33,Mac_2k.log,INFO,,,,,authorMacBook-Pro kernel[0]: ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,9
1900-07-01 09:04:37,Mac_2k.log,INFO,,,,,authorMacBook-Pro symptomsd[215]: __73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,10
